Kernel,C,Gamma (RBF),Degree(Poly),Test Accuracy,Train Accuracy
rbf,1,0.1,-,80.97999999999999,99.89
rbf,1,0.001,-,72.77,75.63
rbf,1,scale,-,88.14,98.25
rbf,100,0.1,-,81.58,100.0
rbf,100,0.001,-,94.78999999999999,97.27
rbf,100,scale,-,88.84,100.0
rbf,1000,0.1,-,81.58,100.0
rbf,1000,0.001,-,95.39999999999999,99.4
rbf,1000,scale,-,88.84,100.0
linear,1,-,-,95.89999999999999,97.8
linear,100,-,-,97.05,99.09
linear,1000,-,-,97.05,99.69
poly,1,-,2,43.29,63.53
poly,1,-,3,76.08,95.15
poly,100,-,2,52.65,83.05
poly,100,-,3,74.42,100.0
poly,1000,-,2,55.76,87.55
poly,1000,-,3,74.42,100.0
